Num,Category,Title,Author,Year,Tom,Quantity,Publisher,Notes
1,Філософія,Стоїцизм на кожен день,"Раян Голідей, Стівен Генсільман",2023,1,,Наш формат,
2,Філософія,Філософія,"Марія Фюрст, Юрген Тринкс",2018,1,,ДУХ І ЛІТЕРА,
3,Філософія,Європейський словник філософії,під керівництвом Барбари Кассен та Констянтина Сігова,2016,4,,ДУХ І ЛІТЕРА,
4,Філософія,Що таке почуття?,Оскар Бреніф'є,2019,1,,ДУХ І ЛІТЕРА,
5,Філософія,Що таке взаємини?,Оскар Бреніф'є,2019,2,,ДУХ І ЛІТЕРА,
6,Філософія,Що таке щастя?,Оскар Бреніф'є,2019,1,3,ДУХ І ЛІТЕРА,
7,Філософія,Проти демократії,Бреннан Джейсон,2020,1,,ДУХ І ЛІТЕРА,
8,Філософія,Книга спасіння. Логіка. Фізика. Метафізика,Ібн Сіна,2020,1,,Темпора,
9,Філософія,Втеча від свободи,Еріх Фромм,2022,1,,КСД,
10,Філософія,Критика цінічного розуму,Петер Слотердайк,2002,1,,Тандем,
11,Філософія,Ханна Арендт або Любов до світу,Алоїз Принц,2016,1,,Темпора,
12,Філософія,Трактат атеології. Фізика метафізики,Мішель Онфре,2010,1,,Ніка-центр,
13,Філософія,Паризький сплін,Шарль Бодлер,2017,1,,Комубук,
14,Філософія,Корабель шаленців,тарас лютий,2017,1,,Видавництво Старого Лева,З підписом автора
15,Філософія,Чарунки долі,Вахтанг Кебуладзе,2016,1,3,Видавництво Старого Лева,
16,Філософія,Григорій Сковорода. Найкраще,Григорій Сковорода,2019,1,,Terra Incognita,
17,Нон-фікшн,Почни з чому,Саймон Сінек,2015,1,,Основи,
18,Нон-фікшн,"Ігри, у які грають люди",Ерік Берн,2016,1,,Глобус,
19,Нон-фікшн,Витончене мистецтво забивати на все,Марк Менсон,2018,1,,Наш формат,
20,Нон-фікшн,Mastering Change The power of Mutual Trust and Respect,Ichak Adizes,1992,1,,Adizes Institute Publications,
21,Нон-фікшн,Чорний лебідь. Про (не)ймовірне у реальному житті,Насім Ніколас Талеб,2017,1,,Наш формат,
22,Нон-фікшн,Визволення тварин,Пітер Сінгер,2019,1,,Pabulum,
23,Нон-фікшн,Як читати класиків,Ростислав Семків,2018,1,,Pabulum,
24,Нон-фікшн,Новини пласкої землі,Нік Дейвіс,2011,1,,Темпора,
25,Нон-фікшн,Не сподівайтеся позбутися книжок,"Умберто Еко, Жан-Клод Кар'єр",2015,1,,Видавництво Старого Лева,
26,Нон-фікшн,"Зовсім не страшна книга про життя, смерть і все, що поміж ними",Анастасія Леухіна,2020,1,,ДУХ І ЛІТЕРА,
27,Нон-фікшн,Living History Hillary Rodham Clinton,Hilary Clinton,2003,1,,Rockfeller Center,
28,Нон-фікшн,theUkrainians: Історії Успіху,"Т. Прокопишин, В. Бєглов, І. Березніцька",2015,1,,Видавництво Старого Лева,З підписом автора
29,Нон-фікшн,Сем Філліпс: винахідних рок-н-ролу,Пітер Геральнік,2019,1,,КМБУКС,
30,Нон-фікшн,"Буде тобі наука: українські вчені, які змінюють світ",Юрій Марченко,2019,1,,Основи,
31,Наука,Дивовижні пригоди всередині тіла,Гевін Френсіс,2017,1,,КСД,
32,Наука,Мораль без релігії. В пошуках людського у приматів,де Вааль Франс,2018,1,,КСД,
33,Наука,Фізика майбутнього,Мічіо Кайку,2013,1,,Літопис,
34,Наука,Місія - космос,Леонід Каденюк,2017,1,,АДЕФ-Україна,З підписом автора
35,Наука,Space. The universe&Everything,"""Третя Планета""",,1,,,Ко-авторка: наша викладачка
36,Наука,Таємниче життя дерев,Петер Воллебен,2017,1,,КСД,
37,Наука,Слідуй за розбитим черепом,Леонід Горобець,2021,1,,Віхола,Автор: наш викладач
38,Економіка,Freakonomics,Steven D. Levitt&Stephen J.Dubner,2009,1,,Penguin Books,
39,Економіка,ЕКономіка бідності. Як звільнити світ від злиднів,Абхіджіт Банерджі. Естер Дуфло,2018,1,,Наш формат,
40,Економіка,Загадка капіталу. Чому капіталізм перемагає на Заході і ніди більше,Ернандо де Сото,2017,1,,Наш формат,
41,Економіка,Гола економіка. Відкриття нудної науки,Вілан Чарльз,2018,1,,,
42,Бізнес,Про управління персоналом. 10 найкращих статей з Harvard Business Review,Harvard Business School,2018,1,,КМ-БУКС,
43,Бізнес,Сьома сила. Подорож одного генерального дмректора у світ спільного лідерства,Кевін Генкок,2020,1,,Основи,
44,Бізнес,Rework. Ця книжка змінить Ваш погляд на бізнес,Джейсон Фрайд та Девід Хайнемайєр Хенссон,2016,1,,КСД,
45,Бізнес,What the dog saw and other adventures,Malcolm Gladwell,2009,1,,Hachette Book Group,
46,Бізнес,The Pursuit of Prime,Ichak Adizes,2006,1,,The Adizes Institute Publishing,
47,Бізнес,Losing my virginity. The autobiography,Richard Branson,2001,1,,Virgin Publishing LTD,
48,Бізнес,Management/Mismanagement. Styles,Ichak Kalderon,2004,1,,The Adizes Institute Publishing,
49,Бізнес,The ideal executive,Ichak Kalderon,2004,1,,The Adizes Institute Publishing,
50,Бізнес,Leading the leaders,Ichak Kalderon,2004,1,,The Adizes Institute Publishing,
51,Бізнес,Winning,Jack Welch with Suzy Welch,2005,1,,HarperCollins,
52,Бізнес,Managing. Corporate Lifecycles,Ichak Adizes,2004,1,,The Adizes Institute Publishing,
53,Бізнес,How to solve the mismanagement crisis,Ichak Adizes,2001,1,,Dow Jones Irvin,
54,Бізнес,Straight from the gut,Jack Welch with John A. Byrne,2001,1,,Time Watner Trade Publishing,
55,Мистецтво,Думай як митець,Вілл Гомперц,2018,1,,ArtHuss,
56,Мистецтво,Митці у трьох актах,Сара Торнтон,2018,1,,ArtHuss,
57,Мистецтво,Галерея пройдисвітів. Історія мистецтва і арт-дилерів,Філіп Гук,2019,1,,ArtHuss,
58,Мистецтво,Як розмовляти з дітьми про мистецтво,Франсуаза Барб-Галль,2014,1,,Видавництво Старого Лева,
59,Мистецтво,Творча впевненість. Як розкрити свій потенціал,Том Келлі та Девід Келлі,2020,1,,Основи,
61,Мистецтво,Малевич. Автобіографічні записки 1918-1933,упоряд. Анастасія Білоусова,2017,1,,родовід,
62,Мистецтво,Ukrainian Railroad Ladies,Sasha Maslov,2020,1,,Основи,
63,Мистецтво,Кураторський посібник,"за ред. О. Погребняк, Д. Чепурного, К. Яковленко",2020,1,3,ІЗОЛЯЦІЯ,3 копії примірників
64,Мистецтво,Керамічний код Івана Левинського в естетичному вимірі українця кінця ХІХ - початку ХХ ст.,за ред. А. Клімашевського,2020,1,,УКФ,
65,Мистецтво,Харківський Художній музей,автор-упорядник М. П. Работягов,1983,1,,Мистецтво,
